Début	Fin	Speaker	Text
1447.749	1447.939	  	 
1447.939	1453.626	 spk2 	 et là la barradita alors la barradita c'est quoi c'est l'Argentine est le seul pays au monde à utiliser la barradita
1453.626	1453.989	  	 
1453.989	1455.15	 spk1 	 quand vous êtes numéro trois
1455.15	1455.342	  	 
1455.342	1459.901	 spk1 	 c'est-à-dire le pilier droit français ou argentin normalement vous avez le pied droit en avant hé bé eux
1459.901	1460.208	  	 
1460.208	1462.2	 spk1 	 ils font l'inverse c'est-à-dire que imaginez-vous
1462.2	1462.623	  	 
1462.623	1465.699	 spk1 	 à droite de la mêlée avec le numéro trois hé bé vous allez avancer le pied gauche
1465.699	1466.061	  	 
1466.061	1466.56	 spk1 	 pourquoi
1466.56	1466.785	  	 
1466.785	1469.832	 spk1 	 hé bé en fait c'est pour resserrer le bloc c'est-à-dire les huit joueurs
1469.832	1470.118	  	 
1470.118	1471.159	 spk1 	 et pour faire comme un burin
1471.159	1471.365	  	 
1471.365	1473.035	 spk1 	 tout axer sur le numéro deux
1473.035	1473.513	  	 
1473.513	1476.362	 spk1 	 et là je peux vous dire c'est sacrément efficace et là on va voir
1476.362	1476.869	  	 
1476.869	1477.732	 spk1 	 sur cette mêlée à cinq
1477.732	1478.032	  	 
1478.032	1478.032	 spk1 	 oh
1478.032	1478.245	 spk2 	 ça
1478.245	1480.244	 spk2 	 dépend si ils sont capables de résister à cette barradita
1480.244	1483.428	 spk1 	 oh oui cette mêlée s'annonce terrible les Argentins à cinq mètres
1483.428	1483.853	  	 
1483.853	1486.571	 spk1 	 de l'embut français avec euh l'introduction pour Pichot
1486.571	1487.467	  	 
1487.467	1488.096	 spk1 	 regardez
1488.096	1488.636	 spk2 	 on est bien on est
1488.636	1488.636	 spk1 	 oh
1488.636	1488.855	 spk2 	 bien
1488.855	1489.602	 spk1 	  les Français qui 
1489.602	1489.602	 spk1 	 réagissent
1489.602	1490.347	 spk2 	 on est bien
1490.347	1490.347	 spk2 	 oh la la
1490.347	1491.085	 spk1 	 et qui vont
1491.085	1491.919	 spk1 	 chiper le ballon
1491.919	1492.173	  	 
1492.173	1492.954	 spk1 	 aux Argentins 
1492.954	1493.994	 spk1 	 ça c'est un superbe
1493.994	1494.308	  	 
1494.308	1494.903	 spk1 	 exploit
1494.903	1495.422	  	 
1495.422	1498.258	 spk1 	 collectif même si le ballon est reperdu là pour Contepomi
1498.258	1499.455	  	 
1499.455	1500.558	 spk1 	 attention à Leguizamon
1500.558	1502.257	  	 
1502.257	1502.852	 spk1 	 Pichot
1502.852	1503.762	  	 
1503.762	1507.151	 spk1 	 avec à hauteur et la défense française qui ne bronche pas pour le moment
1507.151	1508.11	  	 
1508.11	1509.211	 spk1 	 Pichot encore
1509.211	1510.389	  	 
1510.389	1511.944	 spk1 	 à l'extérieur avec Borges
1511.944	1512.561	  	 
1512.561	1513.847	 spk1 	 qui a échappé à Heymans
1513.847	1517.913	  	 
1517.913	1519.008	 spk1 	 Corleto est là
1519.008	1521.486	  	 
1521.486	1524.479	 spk1 	 à quelques mètres de la ligne Contepomi est repoussé
1524.479	1524.774	  	 
1524.774	1525.492	 spk1 	 par Jauzion
1525.492	1526.189	  	 
1526.189	1527.696	 spk1 	 ah ouais les Français pénalisés
1527.696	1529.134	  	 
1529.134	1531.26	 spk2 	 oui on a été pénalisés parce qu'on a été plaqueurs
1531.26	1532.103	  	 
1532.103	1534.239	 spk2 	 et qu'on a pas on est pas sortis de la zone
1534.239	1534.662	  	 
1534.662	1543.818	 spk2 	 entre le joueur qui était au sol le joueur qui l'a plaqué ben à un moment donné il faut sortir de la zone ramper rouler je vous l'ai dit mais ne surtout pas jouer le ballon au sol et sorir de cette zone pour laisser libre la balle tout simplement 
1543.818	1544.145	  	 
1544.145	1545.563	 spk1 	 et Contepomi va tenter sa chance
1545.563	1545.981	  	 
1545.981	1549.199	 spk1 	 elle est bizarre cette équipe de France elle arrive à faire des trucs assez extraordinaires
1549.199	1549.444	  	 
1549.444	1550.574	 spk1 	 reprendre le ballon
1550.574	1550.944	  	 
1550.944	1551.963	 spk1 	 sur une mêlée à cinq 
1551.963	1551.963	 spk1 	 introduction argentine
1551.963	1552.933	 spk2 	 c'est plus dur
1552.933	1553.944	 spk1 	 c'est un vrai exploit
1553.944	1555.826	 spk2 	 ah ça existe plus mon cher Thierry aujourd'hui prendre la
1555.826	1555.826	 spk2 	 
1555.826	1556.078	 Event desc pi type pronounce extent instantaneous 	 
1556.078	1558.852	 spk2 	 le le le le ballon sur introduction adverse ça n'existe pratiquement plus
1558.852	1559.09	  	 
1559.09	1560.549	 spk2 	 avec des paquets d'avant qu'on a aujourd'hui
1560.549	1560.789	  	 
1560.789	1562.767	 spk2 	 et là regardez ce barradita on la met mal
1562.767	1563.062	  	 
1563.062	1565.3	 spk2 	 on les pousse regardez ça recule on récupère le ballon
1565.3	1565.561	  	 
1565.561	1566.265	 spk2 	 qu'est-ce qu'il faut
1566.265	1566.697	  	 
1566.697	1567.442	 spk2 	 tourner la balle
1567.442	1567.702	  	 
1567.702	1568.326	 spk2 	 un bloc
1568.326	1568.564	  	 
1568.564	1570.331	 spk2 	 et après donner la balle et jouer au pied
1570.331	1570.551	  	 
1570.551	1572.385	 spk2 	 et qu'est-ce qu'on fait on reperd la balle derrière
1572.385	1572.522	  	 
1572.522	1574.824	 spk2 	 ce début de partie on est très fébrile côté français
1574.824	1575.11	  	 
1575.11	1575.939	 spk2 	 on perd trop de ballons
1575.939	1576.329	  	 
1576.329	1577.823	 spk2 	 on facilite le jeu argentin
1577.823	1578.287	  	 
1578.287	1579.445	 spk2 	 si on les garde vous verrez
1579.445	1579.677	  	 
1579.677	1580.614	 spk2 	 ça changera de physionomie
1580.614	1581.195	  	 
1581.195	1581.954	 spk1 	 tentative
1581.954	1582.288	  	 
1582.288	1583.72	 spk1 	 de Felipe Contepomi
1583.72	1584.89	  	 
1584.89	1587.182	 spk1 	 l'Argentine qui mène déjà six à trois
1587.182	1588.818	  	 
1588.818	1591.308	 spk1 	 et qui a une occasion de mener neuf à trois
1591.308	1591.829	  	 
1591.829	1593.706	 spk1 	 joli silence du stade de France
1593.706	1598.355	  	 
1598.355	1601.222	 spk1 	 ballon qui part bien et qui va passer entre les perches
1601.222	1602.989	  	 
1602.989	1605.544	 spk1 	 neuf à trois pour l'Argentine 
1605.544	1606.078	  	 
1606.078	1606.455	 spk3 	 Thierry
1606.455	1606.737	  	 
1606.737	1606.737	 spk3 	 Damien Traille il
1606.737	1606.737	 spk1 	 
1606.737	1607.72	 Event desc pi type pronounce extent instantaneous 	 
1607.72	1610.895	 spk3 	 va faire sa rentrée à nouveau donc Fred Michalak va céder sa place
1610.895	1611.348	  	 
1611.348	1613.5	 spk1 	 et on va retrouver la composition euh
1613.5	1613.944	  	 
1613.944	1616.06	 spk1 	 de départ avec David Skrela à l'ouverture
1616.06	1616.82	  	 
1616.82	1617.944	 spk1 	 et les deux tanks
1617.944	1618.172	  	 
1618.172	1618.878	 spk1 	 au centre
1618.878	1619.142	  	 
1619.142	1620.059	 spk1 	 Jauzion Traille
1620.059	1620.449	  	 
1620.449	1622.327	 spk2 	 ça me permet d'ailleurs Thierry de rappeler que
1622.327	1622.618	  	 
1622.618	1624.537	 spk2 	 voilà pourquoi on joue à vingt-deux au rugby aussi
1624.537	1624.739	  	 
1624.739	1628.043	 spk2 	 parce que grâce au saignement en tout cas il faut être prêt et rentrer rapidement et resortir
1628.043	1628.388	  	 
1628.388	1630.774	 spk2 	 donc mentalement il faut être concentré quand on est remplaçant
1630.774	1631.022	  	 
1631.022	1631.484	 spk2 	 c'est plus dur
1631.484	1631.694	  	 
1631.694	1632.503	 spk2 	 parce qu'on y est pas dedans
1632.503	1632.854	  	 
1632.854	1633.653	 spk2 	 il faut rentrer et resortir
1633.653	1634.043	  	 
1634.043	1636.38	 spk1 	 Fernandez Lobbe a très bien pris ce ballon
1636.38	1636.561	  	 
1636.561	1637.535	 spk1 	 sur le renvoi français
1637.535	1639.312	  	 
1639.312	1640.332	 spk1 	 et Hernandez
1640.332	1642.993	  	 
1642.993	1645.873	 spk1 	 ne trouvera pas la touche il est tombé sur Harinordoquy
1645.873	1646.96	  	 
1646.96	1647.683	 spk1 	 Heymans
1647.683	1648.886	  	 
1648.886	1651.106	 spk1 	 il va taper loin devant Cédric Heymans
1651.106	1651.429	  	 
1651.429	1654.211	 spk1 	 c'est pas très très bon coup de pied qui arrive jusqu'à Leguizamon
1654.211	1655.594	  	 
1655.594	1656.74	 spk1 	 Hernandez à nouveau
1656.74	1657.513	  	 
1657.513	1657.751	 spk2 	 ouais
1657.751	1659.005	 spk1 	 qui lui va trouver la touche
1659.005	1659.288	  	 
1659.288	1660.844	 spk1 	 est-ce que Dominici va la jouer vite
1660.844	1661.248	 spk1 	 oui
1661.248	1662.757	  	 
1662.757	1664.123	 spk1 	 avec Damien Traille 
1664.123	1665.153	  	 
1665.153	1666.987	 spk1 	 ah le jeu au pied français est pas
1666.987	1667.35	  	 
1667.35	1669.682	 spk1 	 pas extraordinaire hein Leguizamon en profite
1669.682	1670.597	  	 
1670.597	1672.426	 spk1 	 pour défier la défense française
1672.426	1680.94	  	 
1680.94	1681.731	 spk1 	 Hernandez
1681.731	1682.315	  	 
1682.315	1684.639	 spk1 	 encore une chandelle qui va être courte celle-là
1684.639	1685.425	  	 
1685.425	1686.826	 spk1 	 va y avoir du monde au point de chute hein
1686.826	1687.977	  	 
1687.977	1688.947	 spk1 	 attention au rebond
1688.947	1689.755	  	 
1689.755	1690.729	 spk1 	 Jauzion est venu
1690.729	1691.884	  	 
1691.884	1692.801	 spk1 	 le ballon est français 
1692.801	1693.205	  	 
1693.205	1693.856	 spk1 	 Mignoni
1693.856	1694.412	  	 
1694.412	1695.689	 spk1 	 avec euh Dominici
1695.689	1696.331	  	 
1696.331	1698.599	 spk1 	 dans le dos de Traille pris par Borges
1698.599	1705.58	  	 
1705.58	1707.122	 spk1 	 donc le ballon n'est plus
1707.122	1707.485	  	 
1707.485	1709.013	 spk1 	 jouable pour l'Argentine
1709.013	1710.879	  	 
1710.879	1714.065	 spk1 	 et le dégagement de Skrela qu'on sent très fébrile lui aussi
1714.065	1714.329	  	 
1714.329	1715.709	 spk1 	 il était très ému au moment 
1715.709	1715.982	  	 
1715.982	1717.101	 spk1 	 des hymnes nationaux
1717.101	1718.117	  	 
1718.117	1720.17	 spk2 	 ah il faut jeter les émotions on en a parlé tout à l'heure
1720.17	1720.466	 spk1 	 ouais
1720.466	1720.856	  	 
1720.856	1723.551	 spk2 	 on a du mal je crois que là il est temps euh et d'ailleurs Raphaël Ibanez va
1723.551	1723.551	 spk2 	 
1723.551	1724.076	 Event desc pi type pronounce extent instantaneous 	 
1724.076	1726.606	 spk2 	 reconnaître réunir ses joueurs je le vois là sur la touche
1726.606	1726.903	  	 
1726.903	1728.426	 spk2 	 on verra avec Fabrice ce qu'il en est
1728.426	1728.602	  	 
1728.602	1729.302	 spk2 	 mais en tout cas il faut
1729.302	1730.803	 spk2 	 c'est le moment là en tant que capitaine
1730.803	1731.027	  	 
1731.027	1732.15	 spk2 	 ou Pelous même Fabien
1732.15	1732.67	  	 
1732.67	1733.366	 spk2 	 vice-capitaine
1733.366	1733.527	  	 
1733.527	1734.592	 spk2 	 de réunir les joueurs français
1734.592	1734.592	 spk2 	 
1734.592	1735.094	 Event desc pi type pronounce extent instantaneous 	 
1735.094	1735.274	  	 
1735.274	1737.014	 spk2 	 là on donne tous les ballons
1737.014	1737.437	  	 
1737.437	1738.008	 spk2 	 pour se faire 
1738.008	1738.008	 spk2 	 
1738.008	1738.43	 Event desc pi type pronounce extent instantaneous 	 
1738.43	1738.982	 spk2 	 se faire mal
1738.982	1739.111	  	 
1739.111	1739.633	 spk2 	 aujourd'hui
1739.633	1740.216	  	 
1740.216	1742.769	 spk2 	 on a des balles les Argentins jouent que sur nos munitions
1742.769	1743.047	  	 
1743.047	1744.983	 spk2 	 ils en ont pas beaucoup on leur donne on a un mauvais jeu au pied
1744.983	1745.378	  	 
1745.378	1746.119	 spk2 	 on fait tomber les ballons
1746.119	1746.464	  	 
1746.464	1747.089	 spk2 	 on est fébrile
1747.089	1747.659	  	 
1747.659	1749.24	 spk2 	 revenons à de la simplicité
1749.24	1749.702	  	 
1749.702	1749.804	 spk2 	 des
1749.804	1750.038	  	 
1750.038	1756.033	 spk2 	 des bonnes mêlées des bonnes touches on fait des petites cocottes on organise là et après on écarte un peu on va percuter au milieu
1756.033	1756.266	  	 
1756.266	1758.027	 spk2 	 on se rassure par du petit jeu
1758.027	1758.296	  	 
1758.296	1762.041	 spk2 	 mais c'est important un petit jeu quand on doute comme on doute aujourd'hui là en ce moment en tout cas
1762.041	1762.37	  	 
1762.37	1762.98	 spk2 	 mais c'est pas
1762.98	1763.111	  	 
1763.111	1764.418	 spk2 	 c'est que le début de la partie bien sûr
1764.418	1766.188	  	 
1766.188	1768.169	 spk1 	 d'ailleurs les Argentins très présents
1768.169	1768.617	  	 
1768.617	1770.002	 spk1 	 à tous les rendez-vous
1770.002	1770.806	  	 
1770.806	1771.412	 spk1 	 du terrain
1771.412	1773.254	  	 
1773.254	1777.899	 spk3 	 y'a un blessé hein sur le terrain euh Thierry y'a Fernandez Lobbe le deuxième ligne argentin
1777.899	1778.401	  	 
1778.401	1780.994	 spk3 	 qui a pris un énorme tampon et qui est en train de se faire soigner par euh
1780.994	1781.403	  	 
1781.403	1782.636	 spk3 	 le staff médical argentin
1782.636	1783.184	  	 
1783.184	1785.166	 spk1 	 ah lui qui joue à Sale en Angleterre
1785.166	1785.857	  	 
1785.857	1786.664	 spk1 	 qu'est passé à Castres
1786.664	1787.531	 spk1 	 ouais à Bègles à 
1787.531	1787.531	 spk1 	 Castres
1787.531	1788.131	 spk3 	 ouais ouais
1788.131	1789.241	  	 
1789.241	1789.911	 spk1 	 absolument
1789.911	1791.735	  	 
1791.735	1795.545	 spk3 	 on a pas l'air paniqué hein Thierry hein euh les Français se sont rassurés euh
1795.545	1795.859	  	 
1795.859	1797.274	 spk3 	 Mignoni a donné des consignes
1797.274	1797.547	  	 
1797.547	1798.04	 spk3 	 Raphaël 
1798.04	1798.04	 spk3 	 
1798.04	1798.184	 Event desc pi type pronounce extent instantaneous 	 
1798.184	1799.857	 spk3 	 Raphaël Ibanez également et
1799.857	1800.157	 spk2 	 ah c'est bien
1800.157	1800.649	  	 
1800.649	1804.801	 spk3 	 donc euh y'a y'a y'a pas d'affolement dans la dans la défense française en tout cas ni dans le ni ni chez les avants
1804.801	1805.169	  	 
1805.169	1806.274	 spk1 	 hé ben c'est déjà pas mal
1806.274	1806.435	  	 
1806.435	1808.106	 spk1 	 si la sérénité peut revenir
1808.106	1809.256	 spk2 	 mais la défense elle est bien hein
1809.256	1809.933	 spk1 	 oh oui c'est beau ça
1809.933	1809.933	 spk2 	 
1809.933	1810.512	 Event desc rire type noise extent instantaneous 	 
1810.512	1810.796	  	 
1810.796	1812.279	 spk2 	 c'est la réquisition* des ballons que on
1812.279	1812.463	  	 
1812.463	1813.154	 spk2 	 tombe trop de balles
1813.154	1813.727	  	 
1813.727	1817.33	 spk2 	 et là il faut ben il faut revenir à et tu le sais Fabrice à du simple voilà
1817.33	1817.614	  	 
1817.614	1818.073	 spk1 	 Ledesma
1818.073	1819.546	 spk2 	 ah c'est bien Rémy Martin
1819.546	1821.552	 spk1 	 Rémy Martin qui l'a chipé c'est bien
1821.552	1823.45	  	 
1823.45	1826.027	 spk1 	 allez le ballon qui va être français il faut les libérer ces ballons
1826.027	1828.859	  	 
1828.859	1829.666	 spk1 	 protégé
1829.666	1830.136	  	 
1830.136	1832.865	 spk1 	 David Skrela qui j(oue) lui aussi joue dans les airs
1832.865	1833.221	  	 
1833.221	1835.925	 spk1 	 pour Dominici donc Pichot qui s'est gêné
1835.925	1837.842	  	 
1837.842	1838.935	 spk1 	 avec Borges
1838.935	1842.123	  	 
1842.123	1844.741	 spk1 	 Corleto qui va faire office de demi de mêlée sur ce coup-là
1844.741	1846.963	  	 
1846.963	1848.475	 spk1 	 pour alerter dans l'axe 
1848.475	1850.407	 spk1 	 Hernandez encore
1850.407	1850.796	  	 
1850.796	1853.112	 spk1 	 une chandelle il s'y attendait hein Cédric Heymans
1853.112	1853.784	  	 
1853.784	1855.517	 spk1 	 une pluie de quilles attendait-il 
1855.517	1855.869	  	 
1855.869	1858.031	 spk1 	 et regardez si c'est bien pris par Traille ce ballon
1858.031	1858.424	  	 
1858.424	1859.698	 spk1 	 pour alerter Rémy Martin
1859.698	1860.347	  	 
1860.347	1862.388	 spk1 	 l'interception pourtant ce ballon était bon 
1862.388	1862.759	  	 
1862.759	1863.982	 spk1 	 attention à Contepomi
1863.982	1864.211	  	 
1864.211	1864.788	 spk2 	 hou la hou la la 
1864.788	1864.788	 spk1 	 ça va vite
1864.788	1865.358	 spk2 	 et attention à
1865.358	1865.769	 spk1 	 Corleto
1865.769	1866.983	 spk1 	 qui va vite qui va très vite
1866.983	1867.367	  	 
1867.367	1868.302	 spk1 	 plus vite qu'Heymans
1868.302	1868.595	  	 
1868.595	1871.299	 spk1 	 essai d'Ignacio Corleto 
1871.299	1871.738	  	 
1871.738	1873.72	 spk2 	 et encore mon cher Thierry un ballon
1873.72	1873.986	  	 
1873.986	1874.545	 spk2 	 français
1874.545	1874.866	 spk1 	 oui
1874.866	1875.01	  	 
1875.01	1877.277	 spk2 	 on leur a donné et on se fait punir
1877.277	1879.295	  	 
1879.295	1882.455	 spk2 	 et ils jouent très bien ces Argentins ils prennent aucun risque ils jouent petit
1882.455	1882.741	  	 
1882.741	1885.201	 spk2 	 ils mettent des chandelles dans les airs parce qu'on est pas bon dans les airs
1885.201	1885.594	  	 
1885.594	1886.625	 spk2 	 donc ils continuent
1886.625	1887.166	  	 
1887.166	1891.165	 spk2 	 ils récupèrent des ballons et quand on récupère des ballons on est en position de marquer on l'a vu par Traille
1891.165	1891.435	  	 
1891.435	1892.045	 spk2 	 et derrière
1892.045	1892.315	  	 
1892.315	1893.841	 spk2 	 un joueur argentin se met au milieu de nous
1893.841	1894.027	  	 
1894.027	1898.047	 spk2 	 et on lui file le ballon et bien sûr quand on est tous engagés sur le premier rideau y'a plus de couverture
1898.047	1898.249	  	 
1898.249	1899.685	 spk2 	 et les jambes de Corleto font la différence
1899.685	1899.879	  	 
1899.879	1900.168	 spk2 	 regardez
1900.168	1900.399	  	 
1900.399	1900.859	 spk2 	 Traille
1900.859	1901.192	  	 
1901.192	1901.726	 spk2 	 à l'extérieur
1901.726	1901.726	 spk2 	 
1901.726	1902.461	 Event desc pi type pronounce extent instantaneous 	 
1902.461	1902.633	  	 
1902.633	1903.553	 spk2 	 Rémy Martin il joue bien il veut donner
1903.553	1903.757	  	 
1903.757	1905.002	 spk2 	 et là si y'a un Argentin il faut pas donner
1905.002	1905.382	  	 
1905.382	1908.809	 spk2 	 et oui quand y'a deux joueurs on l'apprend à l'école de rugby deux joueurs quand y'en a un au milieu
1908.809	1909.219	  	 
1909.219	1909.63	 spk2 	 on ne donne pas
1909.63	1909.855	  	 
1909.855	1911.837	 spk2 	 et derrière hé bé bien sûr les jambes la vivacité
1911.837	1912.504	 spk1 	 ah les canes$ hein
1912.504	1915.566	 spk2 	 ah les canes$ comme on dit dans le jargon rugby de Corleto le C va vite
1915.566	1915.747	  	 
1915.747	1920.328	 spk1 	 est-ce qu'il a Dominici et Heymans euh devant lui voilà* regardez cette interception sur la passe de Martin
1920.328	1921.277	  	 
1921.277	1922.437	 spk1 	 effec(tivement) et si ça passe
1922.437	1922.684	  	 
1922.684	1923.326	 spk1 	 on va au bout hein
1923.326	1924.467	  	 hé oui avec Jauzion et
1924.467	1924.467	  	 
1924.467	1924.711	 Event desc pi type pronounce extent instantaneous 	 
1924.711	1925.398	 spk2 	 ah c'est cinquante cinquante
1925.398	1925.741	  	 
1925.741	1930.15	 spk2 	 mais on a dit toujours le soutien le soutien au porteur du ballon en rugby doit être dans l'axe derrière
1930.15	1930.48	  	 
1930.48	1933.45	 spk2 	 au moins y'en a toujours un derrière là on a tous été consommé sur le premier rideau
1933.45	1933.932	  	 
1933.932	1937.196	 spk2 	 et pourquoi on fait un soutien dans l'axe derrière hé bé pour éviter l'interception
1937.196	1937.43	  	 
1937.43	1937.691	 spk1 	 oh ben
1937.691	1937.948	  	 
1937.948	1938.147	 spk2 	 et oui
1938.147	1941.095	 spk1 	 y'a plein de façons de soutenir l'équipe de France ça c'en est une hein
1941.095	1941.329	  	 
1941.329	1941.329	 spk1 	 
1941.329	1943.026	 Event desc pi type pronounce extent instantaneous 	 
1943.026	1945.369	 spk2 	 on les soutient encore parce que ils ont pas comment dire ils ont pas perdu encore
1945.369	1945.544	  	 
1945.544	1946.1	 spk1 	 non
1946.1	1946.582	  	 
1946.582	1948.163	 spk1 	 Contepomi pour la transformation
1948.163	1948.596	  	 
1948.596	1950.686	 spk1 	 de cet essai qui vaut cinq points s'il le transforme
1950.686	1950.906	  	 
1950.906	1952.026	 spk1 	 ça fera deux points
1952.026	1952.469	  	 
1952.469	1953.597	 spk1 	 supplémentaires sur le poteau
1953.597	1954.247	  	 
1954.247	1955.141	 spk1 	 qui renvoie la balle 
1955.141	1955.141	 spk3 	 Thierry
1955.141	1955.141	 spk1 	 
1955.141	1955.804	 Event desc pi type pronounce extent instantaneous 	 
1955.804	1956.056	  	 
1956.056	1956.471	 spk3 	 Thierry
1956.471	1956.691	  	 
1956.691	1956.691	 spk1 	 oui
1956.691	1956.912	 spk3 	 il
1956.912	1957.896	 spk3 	 va y avoir un changement
1957.896	1958.226	  	 
1958.226	1959.368	 spk3 	 du côté argentin
1959.368	1959.518	  	 
1959.518	1960.935	 spk3 	 Fernandez Lobbe en fait est
1960.935	1961.418	  	 
1961.418	1964.938	 spk3 	 est KO c'est donc Álvarez Kairelis qui va le remplacer en deuxième ligne
1964.938	1965.19	  	 
1965.19	1969.071	 spk1 	 et regardez bien Fernandez Lobbe je suis pas sûr qu'il soit très satisfait de sortir hein
1969.071	1969.32	  	 
1969.32	1971.807	 spk3 	 et surtout KO parce que si c'est un KO euh c'est trois semaines hein
1971.807	1972.56	  	 
1972.56	1973.477	 spk3 	 ça veut dire qu'il jouera pas
1973.477	1973.477	 spk1 	 ah ouais mais il a 
1973.477	1974.249	 spk3 	 pendant un moment
1974.249	1975.209	 spk1 	 jeté euh
1975.209	1975.688	  	 
1975.688	1976.672	 spk1 	 une bouteille d'eau
1976.672	1976.924	  	 
1976.924	1979.289	 spk1 	 et là il ne veut pas du tout du soutien des soigneurs
1979.289	1979.759	  	 
1979.759	1981.98	 spk1 	 je suis en train de le surveiller il est fou furieux hein
1981.98	1982.268	  	 
1982.268	1983.122	 spk1 	 Fernandez Lobbe
1983.122	1984.327	  	 
1984.327	1985.306	 spk1 	 de laisser sa place
1985.306	1987.08	  	 
1987.08	1988.366	 spk1 	 allez les Français la réaction
1988.366	1988.678	  	 
1988.678	1989.526	 spk1 	 il faut réagir
1989.526	1989.901	  	 
1989.901	1991.517	 spk1 	 avant la mi-temps en envoyant au front
1991.517	1992.32	  	 
1992.32	1992.689	 spk2 	 Rémy
1992.689	1992.689	 spk1 	 Martin
1992.689	1993.195	 spk2 	 ouais
1993.195	1994.671	  	 
1994.671	1995.379	 spk1 	 Mignoni
1995.379	1995.804	  	 
1995.804	1996.878	 spk1 	 avec Skrela
1996.878	1998.291	  	 
1998.291	2000.259	 spk1 	 hé oui Jauzion qui est repoussé mais qui
2000.259	2000.732	  	 
2000.732	2002.259	 spk1 	 libère parfaitement sa balle
2002.259	2002.488	  	 
2002.488	2006.431	 spk2 	 oh large large y'a Ledesma au niveau du centre il va pas vite c'est un numéro deux
2006.431	2006.752	  	 
2006.752	2010.43	 spk2 	 si on écarte les ballons là-bas avec un Dominici Traille et les jambes on devrait faire la différence
2010.43	2012.127	 spk1 	 hé non ça continue à jouer au ras
2012.127	2013.902	  	 
2013.902	2016.665	 spk1 	 essayer de monopoliser un peu la défense argentine
2016.665	2016.903	  	 
2016.903	2018.479	 spk2 	 et ils sont trois au ras pourquoi on joue au ras
2018.479	2019.69	  	 
2019.69	2021.256	 spk1 	 de Villiers qui insiste
2021.256	2022.408	  	 
2022.408	2024.525	 spk1 	 dans ce jeu de pilonnage qui va peut-être libérer
2024.525	2024.899	  	 
2024.899	2026.334	 spk1 	 des espaces avec Skrela
2026.334	2026.564	  	 
2026.564	2027.355	 spk1 	 qui est passé
2027.355	2027.688	  	 
2027.688	2029.869	 spk1 	 qui a passé les bras pour servir Heymans
2029.869	2030.994	  	 
2030.994	2032.696	 spk1 	 allez Mignoni du dynamisme
2032.696	2033.205	  	 
2033.205	2035.49	 spk1 	 avec l'arrivée de Pieter de Villiers qui a été repoussé
2035.49	2036.249	  	 
2036.249	2039.359	 spk2 	 écartez écartez y'a encore deux avants au niveau des centres là-bas
2039.359	2039.576	  	 
2039.576	2039.576	 spk1 	 Mignoni Skrela
2039.576	2040.817	 spk2 	 Argentins
2040.817	2041.186	  	 
2041.186	2041.49	 spk2 	 voilà
2041.49	2041.49	 spk2 	 
2041.49	2041.81	 Event desc pi type pronounce extent instantaneous 	 
2041.81	2043.223	 spk1 	 pour Jauzion Martin
2043.223	2045.913	  	 
2045.913	2048.265	 spk1 	 et le soutien qui vient le nettoyage qui est fait
2048.265	2048.643	  	 
2048.643	2049.836	 spk1 	 Mignoni encore
2049.836	2050.874	  	 
2050.874	2052.237	 spk1 	 avec euh Rougerie
2052.237	2056.194	  	 
2056.194	2058.005	 spk1 	 et pénalité pour l'équipe de France
2058.005	2059.788	  	 
2059.788	2062.592	 spk1 	 Roncero sanctionné talonnage à la main 
2062.592	2063.882	  	 
2063.882	2066.866	 spk2 	 ah quand on garde les ballons et qu'on les donne pas aux Argentins voilà ce que ça donne
2066.866	2067.141	  	 
2067.141	2068.079	 spk2 	 c'est des phases de jeu
2068.079	2068.272	  	 
2068.272	2070.661	 spk2 	 c'est en tout cas une pénalité ça veut dire qu'on est en position
2070.661	2071.113	  	 
2071.113	2074.441	 spk2 	 de les faire craquer et de marquer des points que ce soit par le pied ou par les essais
2074.441	2074.757	  	 
2074.757	2076.496	 spk2 	 continuons gardons les balles alternons
2076.496	2076.707	  	 
2076.707	2078.581	 spk2 	 sur le jeu au large sur tout parce qu'on va le voir
2078.581	2079.209	  	 
2079.209	2083.534	 spk2 	 y'a beaucoup regardez ça aussi c'est un signe ça commence à se mettre à quatre pattes côté argentin
2083.534	2083.936	  	 
2083.936	2086.725	 spk2 	 le volume le dynamisme français aujourd'hui c'est la clef
2086.725	2087.249	  	 
2087.249	2087.778	 spk2 	 c'est la clef
2087.778	2088.626	  	 
2088.626	2094.033	 spk3 	 Thierry Cédric Heymans est en train de se faire soigner il a une grosse grosse béquille apparemment donc Fred Michalak s'échauffe
2094.033	2094.454	  	 
2094.454	2094.981	 spk1 	 au cas où
2094.981	2096.515	 spk3 	 ça voudrait peut-être dire que 
2096.515	2096.515	 spk3 	 Damien Traille glisserait
2096.515	2096.515	 spk1 	 
2096.515	2097.841	 Event desc pi type pronounce extent instantaneous 	 
2097.841	2099.666	 spk3 	 à l'arrière voire Dominici mais plutôt Traille hein
2099.666	2099.86	  	 
2099.86	2103.979	 spk1 	 oh ouais plutôt euh Damien Traille sans aucun doute mais ça a l'air d'aller hein pour euh Cédric Heymans
2103.979	2104.601	  	 
2104.601	2107.216	 spk1 	 qui joue son deuxième match à l'arrière avec l'équipe de France
2107.216	2108.181	  	 
2108.181	2110.293	 spk1 	 après le match de préparation contre le Pays de Galles
2110.293	2114.527	  	 
2114.527	2118.755	 spk1 	 David Skrela pour cette pénalité pour remettre les Français dans le jeu
2118.755	2121.016	  	 
